business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Miam Dade Police - Kendall Station;1;3;Police Departments;3.0;Kendall District Station Miami, FL 33183;25.695658;-80.3814425;0;https://www.yelp.com/biz/miam-dade-police-kendall-station-miami
Miami Police Department;2;6;Police Departments;2.5;400 NW 2nd Ave Miami, FL 33128;25.7782085;-80.1978693;0;https://www.yelp.com/biz/miami-police-department-miami
City Of Miami Police;3;7;Police Departments;1.5;400 NW 2nd Ave Miami, FL 33128;25.7782527697669;-80.1982788748533;0;https://www.yelp.com/biz/city-of-miami-police-miami
Miami-Dade Police;4;3;Police Departments;3.5;2950 NW 83rd St Miami, FL 33147;25.849644;-80.2443273;0;https://www.yelp.com/biz/miami-dade-police-miami
Miami Beach Police Department;5;18;Police Departments;3.0;1100 Washington Ave Miami Beach, FL 33139;25.7824355;-80.1334432;0;https://www.yelp.com/biz/miami-beach-police-department-miami-beach
MDPD Headquarters;6;3;Police Departments;3.5;9105 NW 25th St Miami, FL 33172;25.7983157;-80.3440966;0;https://www.yelp.com/biz/mdpd-headquarters-miami
Pembroke Pines Police Department;7;6;Police Departments;2.0;9500 Pines Blvd Pembroke Pines, FL 33025;26.00764;-80.2715939;0;https://www.yelp.com/biz/pembroke-pines-police-department-pembroke-pines
Miramar Police Department;8;2;Police Departments;5.0;11765 City Hall Promenade Miramar, FL 33025;25.9858877;-80.2993768;0;https://www.yelp.com/biz/miramar-police-department-miramar
Miami Gardens Police Headquarters;9;1;Police Departments;5.0;18611 NW 27th Ave Miami Gardens, FL 33056;25.9443414090024;-80.245109632651;0;https://www.yelp.com/biz/miami-gardens-police-headquarters-miami-gardens
South Miami Police Department;10;;Police Departments;0;6130 Sunset Dr South Miami, FL 33143;25.7032565318819;-80.2920911461115;0;https://www.yelp.com/biz/south-miami-police-department-south-miami
Hialeah Police Department;11;;Police Departments;0;5555 E 8th Ave Hialeah, FL 33013;25.8727789808941;-80.2663878880645;0;https://www.yelp.com/biz/hialeah-police-department-hialeah
Davie Police Department;12;2;Police Departments;3.0;1230 S Nob Hill Rd Davie, FL 33328;26.1055457;-80.2811952;0;https://www.yelp.com/biz/davie-police-department-davie
Pinecrest Police Department;13;;Police Departments;0;12645 Pinecrest Pkwy Pinecrest, FL 33156;25.6529871;-80.3286513;0;https://www.yelp.com/biz/pinecrest-police-department-pinecrest
North Miami Beach Police Employee’s Assoc;14;1;Police Departments;5.0;633 NE 167th St North Miami Beach, FL 33162;25.9289729;-80.1874013;0;https://www.yelp.com/biz/north-miami-beach-police-employees-assoc-north-miami-beach
Dade County Police Benevolent Association;15;;Police Departments;0;10680 NW 25th St Doral, FL 33172;25.7964845;-80.3675054;0;https://www.yelp.com/biz/dade-county-police-benevolent-association-doral-2
Cutler Manor-Police;16;;Police Departments;0;10875 SW 216th St Ofc Miami, FL 33170;25.7616798;-80.1917902;0;https://www.yelp.com/biz/cutler-manor-police-miami
Broward County Sheriff’s Office;17;3;Police Departments;3.5;2601 W Broward Blvd Fort Lauderdale, FL 33312;26.1233119232737;-80.1770749;0;https://www.yelp.com/biz/broward-county-sheriffs-office-fort-lauderdale
Hollywood Police Department;18;;Police Departments;0;3250 Hollywood Blvd Hollywood, FL 33021;26.010227;-80.173787;0;https://www.yelp.com/biz/hollywood-police-department-hollywood
Aventura City of;19;2;Police Departments;1.0;19200 W Country Club Dr Aventura, FL 33180;25.9571278172135;-80.1430602931662;0;https://www.yelp.com/biz/aventura-city-of-aventura
City of Miami Retired Fire and Police Associtn;20;;Police Departments;0;2300 NW 14th St Miami, FL 33125;25.785647;-80.23382;0;https://www.yelp.com/biz/city-of-miami-retired-fire-and-police-associtn-miami
North Miami City of;21;1;Police Departments;1.0;700 NE 124th St North Miami, FL 33161;25.8891343;-80.1838114;0;https://www.yelp.com/biz/north-miami-city-of-north-miami-12
Dade County Co-Operative Extension Department;22;;Police Departments;0;300 E 1st Ave Hialeah, FL 33010;25.8248094;-80.2797211;0;https://www.yelp.com/biz/dade-county-co-operative-extension-department-hialeah
Fraternal Order of Police City of Miami Lodge N 20;23;;Police Departments;0;710 SW 12th Ave Miami, FL 33130;25.766411;-80.2148179;0;https://www.yelp.com/biz/fraternal-order-of-police-city-of-miami-lodge-n-20-miami
Golden Beach Police Department;24;2;Police Departments;3.0;1 Golden Beach Dr Golden Beach, FL 33160;25.960475;-80.121324;0;https://www.yelp.com/biz/golden-beach-police-department-golden-beach
Jones Equipment;25;;Police Departments;0;5617 Dawson St Cooper City, FL 33328;26.0012027;-80.2094963;0;https://www.yelp.com/biz/jones-equipment-cooper-city
Police Department;26;1;Police Departments;3.0;404 W Palm Dr Homestead, FL 33034;25.448331;-80.482651;0;https://www.yelp.com/biz/police-department-homestead
Davie Police Athletic League;27;;Police Departments,Community Service/Non-Profit;0;4300 SW 57th Ter Davie, FL 33314;26.0668855;-80.2225309;0;https://www.yelp.com/biz/davie-police-athletic-league-davie
Homestead Police Athletic League;28;;Police Departments;0;600 SW 14th Ave Homestead, FL 33030;25.4643898;-80.4940661;0;https://www.yelp.com/biz/homestead-police-athletic-league-homestead
